Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital B,ENTREE 4.29,SIDE 1.29,3659,21212.81969642639
Hospital B,ENTREE 4.79,SIDE 1.29,2171,14391.029803276062
Hospital B,ENTREE 4.99,SIDE 1.29,697,11816.789477348328
Hospital B,BURGER CHEESE,FRIES,1017,10889.290032148361
Hospital B,ENTREE 4.99,SIDE 1.99,472,8257.439671754837
Hospital B,BACON 3 SLICES,EGGS,2348,8250.03997540474
Hospital B,SALMON ENTRÉE,SIDE 1.29,851,7445.399761199951
Hospital B,EGGS,HOME FRIES,1961,7442.499914765358
Hospital B,EGGS,SAUSAGE PATTY,1548,7182.989897727966
Hospital B,ENT -PREMIUM SIDE 1.39,ENTREE 4.29,1155,6603.079939246178
Hospital B,ENT -PREMIUM SIDE 1.39,ENTREE 4.79,972,6249.499946951866
Hospital B,ENT -PREMIUM SIDE 1.39,SIDE 1.29,2195,6195.71987760067
Hospital B,BURGER,FRIES,590,5791.839959383011
Hospital B,ENTREE 4.79,SIDE 1.99,785,5452.669976949692
Hospital B,BURGER CHEESE,GRILL TOPPINGS,531,5415.29998922348
Hospital A,ADD A BEVERAGE $1,CARVED DELI SHL,572,5100.329870223999
Hospital B,BACON 3 SLICES,HOME FRIES,812,4143.389896631241
Hospital B,SIDE 1.29,SIDE 1.99,1187,4114.239960432053
Hospital A,ADD A BEVERAGE $1,FRUIT CUPS,438,4094.8800086975098
Hospital B,HOME FRIES,SAUSAGE PATTY,574,3570.7198944091797
Hospital B,BISCUIT W/GRAVY,SAUSAGE PATTY,452,3435.0999615192413
Hospital B,ENT -PREMIUM SIDE 1.39,ENTREE 4.99,200,3364.9198561906815
Hospital B,BURGER CHEESE,ONION RINGS,298,3214.400009870529
Hospital B,BISCUIT,SAUSAGE PATTY,548,3076.7399592399597
Hospital B,CHICKEN TENDERS 3,FRIES,520,3017.719959259033
Hospital B,BISCUIT,EGGS,890,2973.830050110817
Hospital A,ADD A BEVERAGE $1,CHICKEN TENDER BASKET,576,2961.1100883483887
Hospital B,FRIES,QUESADILLA MEAT,263,2954.609979391098
Hospital B,BISCUIT W/GRAVY,EGGS,565,2926.290026307106
Hospital B,BACON 3 SLICES,BISCUIT W/GRAVY,417,2802.329981327057
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,MIX IT UP SALAD,266,2717.3799295425415
Hospital B,BREAKFAST TACO,COFFEE 12OZ,357,2700.4499711990356
Hospital B,BACON 3 SLICES,SAUSAGE PATTY,430,2647.429932832718
Hospital B,MIX IT UP SALAD,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,238,2436.3599367141724
Hospital B,SALMON ENTRÉE,SIDE 1.99,270,2423.5299413204193
Hospital B,EGGS,REFRIED BEANS,993,2404.0100153684616
Hospital B,MIX IT UP SALAD,TOPO CHICO TWIST OF LIME 20OZ,234,2380.429938316345
Hospital B,BAKED SWEET POTATO,SIDE 1.29,237,2205.3399982452393
Hospital A,ADD A BEVERAGE $1,TACO BAR,90,2203.3599395751953
Hospital B,ENT -PREMIUM SIDE 1.39,SALMON ENTRÉE,263,2188.4499373435974
Hospital B,COFFEE 12OZ,EGGS,442,2173.250002861023
Hospital B,BACON 3 SLICES,BISCUIT,476,2148.5099868774414
Hospital B,GRILL TOPPINGS,QUESADILLA MEAT,214,2117.4299960136414
Hospital B,BURGER,ONION RINGS,226,2117.339985370636
Hospital B,HOME FRIES,REFRIED BEANS,548,2116.1499519348145
Hospital B,BREAKFAST TACO,COFFEE 16OZ,256,2056.0699582099915
Hospital B,BAKED SWEET POTATO,ENTREE 4.79,149,1915.7399997711182
Hospital B,ENTREE 4.29,SIDE 1.99,302,1909.119990825653
Hospital B,FRIES,GRILLED CHEESE,263,1897.2399575710297
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,SIDE 1.29,470,1859.8799591064453
Hospital B,COFFEE 16OZ,EGGS,343,1847.8499608039856
Hospital B,BURGER CHEESE,FRIES SWEET POTATO,145,1839.9599771499634
Hospital A,FRUIT CUPS,YOGURT CUPS,132,1798.860004901886
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,ENTREE 4.29,268,1759.7299795150757
Hospital B,BACON 3 SLICES,REFRIED BEANS,443,1637.609967827797
Hospital B,SIDE 1.29,SMARTWATER 1L,113,1601.7699935436249
Hospital B,BACON 1 SLICE,EGGS,714,1565.92002338171
Hospital B,FRIES,GRILL TOPPINGS,420,1533.529985666275
Hospital A,ADD A BEVERAGE $1,TATOR TOTS,440,1530.3499958515167
Hospital B,BISCUIT W/GRAVY,HOME FRIES,221,1502.0399844646454
Hospital B,ENT -PREMIUM SIDE 1.39,SIDE 1.99,431,1500.9099979400635
Hospital B,EGGS,HASH BROWNS,392,1490.199983239174
Hospital B,FRIES,SANDWICH CHICKEN BREAST,248,1488.0000278949738
Hospital B,BACON 3 SLICES,COFFEE 12OZ,242,1487.7299823760986
Hospital B,SIDE 1.29,SOUP 8 OZ,408,1468.5299844741821
Hospital B,MIX IT UP SALAD,SMARTWATER 1L,72,1465.0299849510193
Hospital B,ENTREE 4.29,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,220,1461.3399829864502
Hospital B,SIDE 1.29,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,369,1433.4099683761597
Hospital B,CARVED-DELI,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,139,1430.2299633026123
Hospital B,BISCUIT,HOME FRIES,287,1409.9999828338623
Hospital B,COFFEE 12OZ,HOME FRIES,205,1321.6799783706665
Hospital B,BURGER CHEESE,GOURMET CAKE,110,1310.7300028800964
Hospital B,BACON 3 SLICES,COFFEE 16OZ,194,1295.9399616718292
Hospital B,CARVED-DELI,TOPO CHICO TWIST OF LIME 20OZ,126,1281.3099670410156
Hospital B,SIDE 1.29,TOPO CHICO TWIST OF LIME 20OZ,325,1280.4399719238281
Hospital B,EGGS,SMARTWATER 1L,95,1264.4900045394897
Hospital A,ADD A BEVERAGE $1,ENTREE 4.49,231,1260.2099475860596
